date_of_birth_year,Age in Last Interview,height_cm,weight_kg,education_level,date_of_birth_month
1955,48.0,162.2,53.2,1.0,12
1984,23.0,114.2,18.2,1.0,4
1987,20.0,98.1,13.7,3.0,12
1992,15.0,76.9,9.1,3.0,5
1992,15.0,76.9,9.1,3.0,5
1993,14.0,47.0,3.1,2.0,11
1953,47.0,145.8,44.3,1.0,7
1985,15.0,116.8,18.8,2.0,3
1989,11.0,93.9,12.8,2.0,5
1989,11.0,93.9,12.8,2.0,5
1993,7.0,65.8,7.0,3.0,4
1947,60.0,147.8,52.5,1.0,5
1988,19.0,105.0,17.0,3.0,3
1990,17.0,91.6,13.5,1.0,3
1990,17.0,91.6,13.5,1.0,3
1989,11.0,92.9,14.5,1.0,9
1992,8.0,77.8,6.0,1.0,6
1991,16.0,73.5,7.0,1.0,4
1998,19.0,99.1,16.5,3.0,12
1998,19.0,99.1,16.5,3.0,12
1990,15.0,89.9,12.5,3.0,10
1983,24.0,118.3,23.2,3.0,10
1983,24.0,118.3,23.2,3.0,10
1986,21.0,105.3,17.6,1.0,7
1990,16.0,79.2,11.1,3.0,10
1990,16.0,79.2,11.1,3.0,10
1967,42.0,138.2,39.2,1.0,5
1985,22.0,114.6,19.1,3.0,4
1987,20.0,99.5,14.6,2.0,3
1989,17.0,93.6,11.9,3.0,1
1989,17.0,93.6,11.9,3.0,1
1989,17.0,93.6,11.9,3.0,1
1991,15.0,84.2,11.7,3.0,3
1993,13.0,68.4,6.0,2.0,2
1967,40.0,167.8,58.6,1.0,10
1969,38.0,149.5,45.6,1.0,12
1990,17.0,94.4,13.6,3.0,1
1990,17.0,94.4,13.6,3.0,1
1951,56.0,147.5,45.1,1.0,10
1984,23.0,124.8,24.2,3.0,4
1984,23.0,124.8,24.2,3.0,4
1987,19.0,101.9,15.6,3.0,12
1990,17.0,79.6,9.1,3.0,10
1963,44.0,149.1,47.1,3.0,1
1993,14.0,58.3,4.9,2.0,9
1961,46.0,150.7,57.3,1.0,12
1984,23.0,117.5,23.7,3.0,4
1985,22.0,105.9,17.5,3.0,11
1987,20.0,103.7,16.7,2.0,10
1990,17.0,88.7,12.9,3.0,2
1993,14.0,66.9,6.0,3.0,4
1945,54.0,151.8,68.8,3.0,5
1980,27.0,152.8,44.8,3.0,10
1980,27.0,152.8,44.8,3.0,10
1988,19.0,103.9,15.2,3.0,8
1988,19.0,103.9,15.2,3.0,8
1990,17.0,83.1,11.1,2.0,8
1967,40.0,166.2,63.1,3.0,6
1964,43.0,147.6,61.0,1.0,12
1989,19.0,105.0,18.6,3.0,3
1989,19.0,105.0,18.6,3.0,3
1979,27.0,138.3,41.6,1.0,11
1979,27.0,138.3,41.6,2.0,11
1958,49.0,162.0,55.3,1.0,1
1967,40.0,150.2,62.4,3.0,10
1986,21.0,114.0,20.6,2.0,10
1986,21.0,114.0,20.6,2.0,10
1989,19.0,95.8,14.8,2.0,2
1989,19.0,95.8,14.8,2.0,2
1990,17.0,88.5,13.0,2.0,10
1987,21.0,103.1,16.0,2.0,6
1987,21.0,103.1,16.0,2.0,6
1989,18.0,90.4,12.5,1.0,9
1954,53.0,155.5,47.1,2.0,11
1953,55.0,152.2,45.6,3.0,1
1983,24.0,125.8,22.0,3.0,12
1983,24.0,125.8,22.0,3.0,12
1985,22.0,111.5,18.4,3.0,10
1985,22.0,111.5,18.4,3.0,10
1986,21.0,119.6,19.8,3.0,12
1986,21.0,119.6,19.8,3.0,12
1991,16.0,83.0,10.4,3.0,10
1955,52.0,148.6,55.4,2.0,11
1978,29.0,156.8,49.9,3.0,6
1978,29.0,156.8,49.9,3.0,6
1979,28.0,143.7,38.6,2.0,7
1979,28.0,143.7,38.6,2.0,7
1982,26.0,127.6,23.7,3.0,8
1982,26.0,127.6,23.7,3.0,8
1979,28.0,142.1,33.4,3.0,7
1980,26.0,148.9,41.3,3.0,11
1955,52.0,161.9,56.4,3.0,6
1984,24.0,130.3,23.6,3.0,3
1984,24.0,130.3,23.6,3.0,3
1985,22.0,122.2,21.9,3.0,7
1990,17.0,90.5,11.8,3.0,7
1990,17.0,90.5,11.8,3.0,7
1958,50.0,162.2,69.0,1.0,8
1952,49.0,149.4,51.3,1.0,7
1993,14.0,66.5,7.1,3.0,5
1960,47.0,161.2,47.1,2.0,12
1989,18.0,96.0,12.9,3.0,6
1989,18.0,96.0,12.9,3.0,6
1991,17.0,80.2,9.8,3.0,4
1967,40.0,151.9,56.5,1.0,4
1987,20.0,105.3,16.4,3.0,9
1987,20.0,105.3,16.4,3.0,9
1968,39.0,151.5,50.2,1.0,10
1987,20.0,106.8,15.6,3.0,7
1987,20.0,106.8,15.6,3.0,7
1988,19.0,94.3,14.3,3.0,5
1990,17.0,84.0,9.9,3.0,2
1990,17.0,84.0,9.9,3.0,2
1992,15.0,70.5,7.7,3.0,8
1992,15.0,70.5,7.7,3.0,8
1952,56.0,163.5,60.6,1.0,1
1952,56.0,163.5,60.6,1.0,1
1952,56.0,163.5,60.6,1.0,1
1984,24.0,118.9,21.4,3.0,1
1984,24.0,118.9,21.4,3.0,1
1986,21.0,95.0,12.7,3.0,8
1986,21.0,95.0,12.7,3.0,8
1989,19.0,102.7,14.5,3.0,2
1989,19.0,102.7,14.5,3.0,2
1991,17.0,82.7,9.2,3.0,5
1991,17.0,82.7,9.2,3.0,5
1957,51.0,145.3,44.1,1.0,2
1981,26.0,124.8,22.1,2.0,7
1983,24.0,130.0,25.4,3.0,7
1985,22.0,118.0,20.3,2.0,6
1987,20.0,110.5,18.0,2.0,11
1987,20.0,110.5,18.0,3.0,11
1990,17.0,89.6,12.4,3.0,7
1990,17.0,89.6,12.4,3.0,7
1993,15.0,68.4,8.4,2.0,2
1969,38.0,157.7,40.7,3.0,5
1993,14.0,61.0,5.8,3.0,7
1993,14.0,61.0,5.8,3.0,7
1985,22.0,115.3,20.6,3.0,10
1985,22.0,115.3,20.6,3.0,10
1985,21.0,108.4,15.9,2.0,5
1985,21.0,108.4,15.9,2.0,5
1986,20.0,104.8,14.6,3.0,7
1986,20.0,104.8,14.6,2.0,7
1986,20.0,104.8,14.6,2.0,7
1990,17.0,84.0,18.7,3.0,5
1990,17.0,84.0,18.7,3.0,5
1992,15.0,70.3,8.2,3.0,4
1992,15.0,70.3,8.2,3.0,4
1981,28.0,144.0,29.8,1.0,6
1982,25.0,136.7,28.3,3.0,11
1977,30.0,151.4,47.2,1.0,6
1977,30.0,151.4,47.2,1.0,6
1979,28.0,150.9,41.1,3.0,6
1979,28.0,150.9,41.1,3.0,6
1983,23.0,124.9,22.2,3.0,11
1983,23.0,124.9,22.2,3.0,11
1983,23.0,126.8,24.4,3.0,11
1991,17.0,87.0,11.8,3.0,4
1940,69.0,160.8,55.3,2.0,5
1984,24.0,114.1,19.2,3.0,1
1953,54.0,159.2,57.2,2.0,11
1981,26.0,137.5,30.4,2.0,9
1981,26.0,137.5,30.4,2.0,9
1984,23.0,117.5,19.3,3.0,11
1984,23.0,117.5,19.3,3.0,11
1987,20.0,104.9,16.7,3.0,7
1987,20.0,104.9,16.7,3.0,7
1991,17.0,85.2,11.8,3.0,2
1991,17.0,85.2,11.8,3.0,2
1966,41.0,159.6,55.1,3.0,8
1965,43.0,148.3,42.9,3.0,3
1990,17.0,90.5,12.9,3.0,6
1990,17.0,90.5,12.9,3.0,6
1967,42.0,159.4,52.1,3.0,2
1969,38.0,151.8,52.8,1.0,4
1948,59.0,148.3,46.3,3.0,11
1979,28.0,141.3,38.3,3.0,3
1979,28.0,141.3,38.3,3.0,3
1986,21.0,110.7,18.5,2.0,12
1986,21.0,110.7,18.5,2.0,12
1989,18.0,94.7,14.6,3.0,9
1991,16.0,84.5,11.9,3.0,3
1948,61.0,163.4,58.2,1.0,5
1946,62.0,157.7,50.5,1.0,11
1983,25.0,129.0,26.7,3.0,2
1983,25.0,129.0,26.7,3.0,2
1950,57.0,165.0,54.3,1.0,8
1951,56.0,147.3,44.9,1.0,9
1980,27.0,135.4,28.2,3.0,9
1980,27.0,135.4,28.2,3.0,9
1986,21.0,111.5,18.8,3.0,8
1988,19.0,104.0,14.5,3.0,8
1940,67.0,161.1,49.5,2.0,12
1970,37.0,163.4,58.1,1.0,12
1938,73.0,153.9,46.3,1.0,8
1980,26.0,127.0,27.3,2.0,11
1950,57.0,162.6,55.1,1.0,5
1954,54.0,148.7,47.1,1.0,2
1978,30.0,144.0,43.0,3.0,2
1982,25.0,126.3,24.6,3.0,10
1984,23.0,118.2,20.8,3.0,7
1984,23.0,118.2,20.8,3.0,7
1991,9.0,93.0,13.5,3.0,4
1992,8.0,74.5,9.5,3.0,12
1980,27.0,139.0,28.5,2.0,5
1983,24.0,124.4,22.9,3.0,11
1983,24.0,124.4,22.9,3.0,11
1977,30.0,158.7,45.2,1.0,9
1958,49.0,158.5,51.0,1.0,7
1964,43.0,152.6,52.8,1.0,12
1985,22.0,118.0,19.3,3.0,5
1985,22.0,118.0,19.3,3.0,5
1987,20.0,104.6,16.0,2.0,11
1989,17.0,92.0,14.7,2.0,2
1944,63.0,165.7,52.4,1.0,10
1951,57.0,150.4,38.2,1.0,3
1988,19.0,100.5,14.6,1.0,6
1990,17.0,85.2,11.5,1.0,7
1990,17.0,85.2,11.5,1.0,7
1993,14.0,63.5,6.5,3.0,6
1993,14.0,63.5,6.5,3.0,6
1965,42.0,158.0,48.3,1.0,12
1986,21.0,121.7,19.0,1.0,11
1986,21.0,121.7,19.0,1.0,11
1990,17.0,89.3,11.5,1.0,4
1993,14.0,53.0,3.8,1.0,10
1967,41.0,167.1,62.2,2.0,3
1967,41.0,167.1,62.2,2.0,3
1969,38.0,152.8,54.8,3.0,2
1969,38.0,152.8,54.8,3.0,2
1990,17.0,92.0,12.7,1.0,1
1990,17.0,92.0,12.7,1.0,1
1946,61.0,166.5,57.6,1.0,2
1951,56.0,152.0,53.9,1.0,5
1974,33.0,153.3,57.0,1.0,4
1974,33.0,153.3,57.0,1.0,4
1981,26.0,136.8,35.4,3.0,11
1981,26.0,136.8,35.4,3.0,11
1984,23.0,128.5,28.9,3.0,4
1984,23.0,128.5,28.9,3.0,4
1986,21.0,114.4,18.3,3.0,7
1986,21.0,114.4,18.3,3.0,7
1969,38.0,171.2,68.5,3.0,2
1970,37.0,152.0,51.8,3.0,8
1962,45.0,159.0,58.8,1.0,12
1982,25.0,131.7,25.4,2.0,12
1982,25.0,131.7,25.4,2.0,12
1984,24.0,122.9,22.4,1.0,1
1984,24.0,122.9,22.4,1.0,1
1985,22.0,122.1,21.2,1.0,10
1990,16.0,88.2,11.4,2.0,9
1963,44.0,141.1,37.9,3.0,7
1986,22.0,115.0,16.0,3.0,3
1986,22.0,115.0,16.0,3.0,3
1980,19.0,105.5,14.2,3.0,7
1980,19.0,105.5,14.2,3.0,7
1958,49.0,150.9,52.2,1.0,7
1981,26.0,125.9,25.2,2.0,4
1985,22.0,114.9,19.1,1.0,1
1985,22.0,114.9,19.1,1.0,1
1986,21.0,110.0,17.2,1.0,10
1992,15.0,70.7,7.4,3.0,8
1965,42.0,145.2,58.4,3.0,9
1986,21.0,114.3,17.3,3.0,9
1965,42.0,165.3,54.0,3.0,4
1965,42.0,160.8,51.9,3.0,6
1950,57.0,150.4,40.4,1.0,5
1978,29.0,151.4,49.5,3.0,5
1981,26.0,131.0,30.6,3.0,11
1963,50.0,157.8,48.0,1.0,9
1966,48.0,141.4,48.8,1.0,8
1984,23.0,113.2,19.3,1.0,12
1984,23.0,113.2,19.3,1.0,12
1987,20.0,108.3,17.3,2.0,9
1987,20.0,108.3,17.3,2.0,9
1959,48.0,140.9,39.9,1.0,8
1959,48.0,140.9,39.9,1.0,8
1977,29.0,151.6,43.1,3.0,8
1977,29.0,151.6,43.1,3.0,8
1985,24.0,113.6,20.1,2.0,8
1985,24.0,113.6,20.1,3.0,8
1957,50.0,162.4,54.3,2.0,11
1957,50.0,162.4,54.3,2.0,11
1960,47.0,142.0,40.8,2.0,7
1960,47.0,142.0,40.8,1.0,7
1990,17.0,88.4,12.8,2.0,4
1990,17.0,88.4,12.8,3.0,4
1959,48.0,158.9,58.6,1.0,7
1961,46.0,143.3,36.1,1.0,12
1962,48.0,163.5,63.8,1.0,8
1963,46.0,155.5,57.0,1.0,11
1983,24.0,121.3,26.4,2.0,5
1983,24.0,121.3,26.4,2.0,5
1985,22.0,114.0,23.9,2.0,9
1985,22.0,114.0,23.9,2.0,9
1990,16.0,83.0,12.1,2.0,7
1985,22.0,113.5,20.8,3.0,6
1985,22.0,113.5,20.8,3.0,6
1987,20.0,100.4,15.2,3.0,12
1987,20.0,100.4,15.2,3.0,12
1989,18.0,102.5,16.4,3.0,6
1989,18.0,102.5,16.4,3.0,6
1957,50.0,157.0,53.8,1.0,12
1957,50.0,157.0,53.8,1.0,12
1961,46.0,143.2,49.7,1.0,10
1980,27.0,135.4,30.3,2.0,10
1980,27.0,135.4,30.3,1.0,10
1983,24.0,121.5,22.6,3.0,10
1983,24.0,121.5,22.6,3.0,10
1958,49.0,161.1,56.5,2.0,11
1962,46.0,146.2,42.3,1.0,3
1982,28.0,134.2,30.2,2.0,11
1982,28.0,134.2,30.2,2.0,11
1941,66.0,159.9,47.9,2.0,12
1955,52.0,150.9,58.9,3.0,5
1983,24.0,127.0,28.1,3.0,12
1959,48.0,155.1,54.9,2.0,9
1979,28.0,145.0,39.5,2.0,3
1979,28.0,145.0,39.5,2.0,3
1981,26.0,127.8,27.0,3.0,8
1981,26.0,127.8,27.0,3.0,8
1984,24.0,126.2,26.2,2.0,12
1984,24.0,126.2,26.2,1.0,12
1976,31.0,162.5,59.0,1.0,11
1954,53.0,164.1,57.7,1.0,6
1978,30.0,156.5,55.1,3.0,3
1978,30.0,156.5,55.1,3.0,3
1987,21.0,111.0,20.5,2.0,2
1987,21.0,111.0,20.5,2.0,2
1989,19.0,86.2,12.6,3.0,1
1980,28.0,154.9,38.3,1.0,2
1989,18.0,93.6,11.7,1.0,2
1962,47.0,168.2,43.0,1.0,12
1962,46.0,140.5,37.4,1.0,8
1984,22.0,110.3,16.8,3.0,3
1984,22.0,110.3,16.8,3.0,3
1990,17.0,82.3,10.3,3.0,12
1977,30.0,139.5,41.9,1.0,7
1977,30.0,139.5,41.9,1.0,7
1950,57.0,161.1,57.1,2.0,8
1979,29.0,157.4,49.5,2.0,12
1979,29.0,157.4,49.5,2.0,12
1982,26.0,128.7,27.2,3.0,2
1982,26.0,128.7,27.2,3.0,2
1948,59.0,144.0,49.6,1.0,4
1982,25.0,115.7,21.2,3.0,8
1982,25.0,115.7,21.2,3.0,8
1944,63.0,151.1,51.7,2.0,12
1976,31.0,155.2,47.8,2.0,9
1976,31.0,155.2,47.8,2.0,9
1981,27.0,123.2,26.1,2.0,5
1986,21.0,108.2,17.7,3.0,12
1986,21.0,108.2,17.7,3.0,12
1986,21.0,108.2,17.7,3.0,12
1978,29.0,147.0,43.1,3.0,6
1964,43.0,145.2,42.3,3.0,9
1989,18.0,91.2,12.6,3.0,2
1989,18.0,91.2,12.6,3.0,2
1991,16.0,81.0,9.6,3.0,5
1991,16.0,81.0,9.6,3.0,5
1973,34.0,158.0,52.5,2.0,5
1973,34.0,158.0,52.5,3.0,5
1976,31.0,154.9,52.4,3.0,8
1985,22.0,112.1,17.6,3.0,10
1985,22.0,112.1,17.6,3.0,10
1943,65.0,142.1,46.1,1.0,12
1967,40.0,150.4,54.4,2.0,10
1968,40.0,150.4,48.1,2.0,2
1984,22.0,118.2,21.3,3.0,3
1984,22.0,118.2,21.3,3.0,3
1984,22.0,118.2,21.3,3.0,3
1949,58.0,153.0,60.0,3.0,7
1981,26.0,139.1,31.5,3.0,12
1981,26.0,139.1,31.5,3.0,12
1955,52.0,154.5,49.2,1.0,12
1957,50.0,151.0,50.4,1.0,8
1983,24.0,119.9,24.3,3.0,5
1983,24.0,119.9,24.3,3.0,5
1985,22.0,109.9,20.6,3.0,7
1987,20.0,104.0,14.4,3.0,9
1987,20.0,104.0,14.4,3.0,9
1991,17.0,80.3,10.3,3.0,2
1991,17.0,80.3,10.3,3.0,2
1952,55.0,157.8,53.1,1.0,8
1954,53.0,142.9,48.2,1.0,6
1980,27.0,136.2,31.9,2.0,8
1980,27.0,136.2,31.9,1.0,8
1988,20.0,101.5,17.8,3.0,2
1988,20.0,101.5,17.8,3.0,2
1990,18.0,93.6,14.8,3.0,1
1992,15.0,68.5,7.3,3.0,8
1992,15.0,68.5,7.3,3.0,8
1955,54.0,162.3,53.1,1.0,5
1955,52.0,149.6,55.1,2.0,4
1981,26.0,133.4,33.4,1.0,5
1981,26.0,133.4,33.4,1.0,5
1985,23.0,118.5,21.5,3.0,6
1985,23.0,118.5,21.5,3.0,6
1988,21.0,110.2,20.8,3.0,11
1990,19.0,92.5,14.0,2.0,11
1963,44.0,160.1,49.1,2.0,11
1967,40.0,151.4,50.8,3.0,5
1944,63.0,146.3,53.5,2.0,3
1985,23.0,114.0,20.1,3.0,2
1985,23.0,114.0,20.1,3.0,2
1953,54.0,148.5,52.5,1.0,3
1980,27.0,138.6,32.4,3.0,7
1980,27.0,138.6,32.4,3.0,7
1983,24.0,125.0,26.6,2.0,12
1984,24.0,120.4,24.1,2.0,2
1962,45.0,164.2,61.0,1.0,12
1960,47.0,138.2,41.6,2.0,4
1989,18.0,100.0,15.3,2.0,3
1989,18.0,100.0,15.3,2.0,3
1991,17.0,81.2,8.1,3.0,1
1991,17.0,81.2,8.1,3.0,1
1964,54.0,160.1,46.9,1.0,6
1942,64.0,161.3,49.0,2.0,12
1981,26.0,146.5,30.3,3.0,10
1981,26.0,146.5,30.3,3.0,10
1981,26.0,146.5,30.3,3.0,10
1983,24.0,129.1,24.7,3.0,5
1983,24.0,129.1,24.7,3.0,5
1963,44.0,151.0,44.2,3.0,12
1986,21.0,126.2,22.9,3.0,2
1965,42.0,149.3,55.0,1.0,12
1985,22.0,119.4,22.8,3.0,4
1985,22.0,119.4,22.8,3.0,4
1988,20.0,104.9,15.9,2.0,6
1988,20.0,104.9,15.9,2.0,6
1991,16.0,86.0,11.9,3.0,10
1991,16.0,86.0,11.9,3.0,10
1957,50.0,174.0,72.9,1.0,8
1983,24.0,131.2,24.7,1.0,10
1983,24.0,131.2,24.7,1.0,10
1988,19.0,105.2,16.7,2.0,11
1991,16.0,94.4,15.3,1.0,3
1963,44.0,162.7,53.7,1.0,8
1967,40.0,147.0,39.3,1.0,8
1989,18.0,94.2,12.6,2.0,2
1991,16.0,84.2,11.1,2.0,11
1977,30.0,145.7,38.0,2.0,6
1977,30.0,145.7,38.0,2.0,6
1980,27.0,142.5,32.6,2.0,6
1980,27.0,142.5,32.6,2.0,6
1982,25.0,126.1,21.9,2.0,10
1982,25.0,126.1,21.9,2.0,10
1988,19.0,99.4,14.0,2.0,10
1962,45.0,146.9,55.7,1.0,6
1986,21.0,112.4,19.5,2.0,4
1990,17.0,91.6,13.0,3.0,5
1992,15.0,76.5,8.7,2.0,4
1992,15.0,76.5,8.7,2.0,4
1952,55.0,168.0,67.2,1.0,12
1956,51.0,147.8,48.9,1.0,8
1984,22.0,115.6,20.1,2.0,2
1984,22.0,115.6,20.1,2.0,2
1991,16.0,79.5,8.9,2.0,8
1962,45.0,147.4,55.5,1.0,3
1980,27.0,132.7,30.7,2.0,9
1980,27.0,132.7,30.7,2.0,9
1985,22.0,112.6,20.2,3.0,8
1985,22.0,112.6,20.2,3.0,8
1991,15.0,82.2,10.5,3.0,7
1952,55.0,156.0,56.0,1.0,8
1954,53.0,145.1,47.2,1.0,7
1984,24.0,121.7,22.7,2.0,4
1984,24.0,121.7,22.7,2.0,4
1988,19.0,97.4,14.2,2.0,10
1988,19.0,97.4,14.2,2.0,10
1991,16.0,75.3,8.6,1.0,12
1991,16.0,75.3,8.6,1.0,12
1950,58.0,164.4,65.8,2.0,1
1956,51.0,145.7,51.6,2.0,7
1982,25.0,135.8,28.0,3.0,9
1987,20.0,102.5,14.5,3.0,5
1987,20.0,102.5,14.5,3.0,5
1987,20.0,102.5,14.5,3.0,5
1959,48.0,170.1,60.0,1.0,5
1985,22.0,121.4,22.1,3.0,7
1985,22.0,121.4,22.1,3.0,7
1987,20.0,111.5,18.1,3.0,6
1991,16.0,83.2,11.0,3.0,9
1991,16.0,83.2,11.0,3.0,9
1957,50.0,162.0,60.6,1.0,6
1960,47.0,147.2,44.8,1.0,7
1983,24.0,119.6,21.2,2.0,12
1988,19.0,95.4,13.6,2.0,8
1988,19.0,95.4,13.6,2.0,8
1991,16.0,80.6,11.3,2.0,3
1991,16.0,80.6,11.3,2.0,3
1993,15.0,65.9,6.8,2.0,1
1993,15.0,65.9,6.8,2.0,1
1987,20.0,102.5,15.2,2.0,12
1989,18.0,87.4,11.2,1.0,10
1953,55.0,157.0,70.1,1.0,12
1983,24.0,126.8,28.4,3.0,6
1983,24.0,126.8,28.4,3.0,6
1990,17.0,89.5,12.8,2.0,2
1990,17.0,89.5,12.8,2.0,2
1983,21.0,103.4,14.4,3.0,3
1983,21.0,103.4,14.4,3.0,3
1989,17.0,83.8,9.9,3.0,5
1991,16.0,76.2,7.7,2.0,1
1991,16.0,74.4,9.5,2.0,1
1991,16.0,74.4,9.5,2.0,1
1927,80.0,162.2,56.2,1.0,10
1935,72.0,156.1,36.5,1.0,3
1976,31.0,148.0,51.3,1.0,5
1976,31.0,148.0,51.3,1.0,5
1982,25.0,132.7,29.3,1.0,2
1958,56.0,157.5,51.9,1.0,6
1958,56.0,157.5,51.9,1.0,6
1961,46.0,140.1,38.3,1.0,11
1987,20.0,96.7,13.4,2.0,5
1987,20.0,96.7,13.4,2.0,5
1965,42.0,156.7,55.9,2.0,8
1965,42.0,156.7,55.9,2.0,8
1966,41.0,151.0,40.1,2.0,7
1991,16.0,85.6,11.6,3.0,5
1991,16.0,85.6,11.6,3.0,5
1942,65.0,168.5,59.0,1.0,10
1938,69.0,152.1,42.5,1.0,8
1980,26.0,132.8,27.4,1.0,4
1980,26.0,132.8,27.4,1.0,4
1980,28.0,143.2,35.8,3.0,1
1985,22.0,118.0,22.3,2.0,9
1985,22.0,118.0,22.3,3.0,9
1970,37.0,145.4,44.8,1.0,5
1990,16.0,80.4,9.4,2.0,3
1990,16.0,80.4,9.4,2.0,3
1993,14.0,68.7,6.5,3.0,2
1954,53.0,144.1,39.4,2.0,4
1985,24.0,123.1,21.5,3.0,3
1985,24.0,123.1,21.5,3.0,3
1979,28.0,138.9,29.5,3.0,10
1979,28.0,138.9,29.5,3.0,10
1979,28.0,138.9,29.5,3.0,10
1981,27.0,136.0,26.2,3.0,8
1981,27.0,136.0,26.2,3.0,8
1948,59.0,156.4,55.5,1.0,12
1950,56.0,143.6,47.0,1.0,7
1980,27.0,117.6,25.7,1.0,4
1980,27.0,117.6,25.7,2.0,4
1985,23.0,108.4,18.2,2.0,2
1985,23.0,108.4,18.2,2.0,2
1988,20.0,101.5,18.6,2.0,1
1988,20.0,101.5,18.6,3.0,1
1985,23.0,109.9,17.8,1.0,1
1985,22.0,114.7,20.5,2.0,6
1987,20.0,102.4,17.1,1.0,11
1989,17.0,85.5,11.9,3.0,8
1993,14.0,70.3,8.5,2.0,3
1948,59.0,167.4,56.9,1.0,8
1987,20.0,104.1,14.8,3.0,4
1987,20.0,104.1,14.8,3.0,4
1960,48.0,151.6,43.8,1.0,12
1992,16.0,69.5,9.4,3.0,3
1962,45.0,144.7,43.0,1.0,10
1984,24.0,126.3,25.9,3.0,2
1984,24.0,126.3,25.9,3.0,2
1986,22.0,111.7,20.6,3.0,1
1988,19.0,97.9,15.3,3.0,6
1989,17.0,89.7,13.1,3.0,3
1959,48.0,143.0,39.7,1.0,7
1985,22.0,111.0,17.8,3.0,5
1987,19.0,83.1,11.2,3.0,10
1987,19.0,83.1,11.2,3.0,10
1991,17.0,70.1,7.9,3.0,2
1962,45.0,155.9,50.3,2.0,10
1962,45.0,143.0,44.5,2.0,11
1989,18.0,84.0,10.7,3.0,1
1989,18.0,84.0,10.7,3.0,1
1992,16.0,68.5,8.4,2.0,1
1982,26.0,122.5,25.4,3.0,2
1985,22.0,108.7,20.3,3.0,5
1985,22.0,108.7,20.3,3.0,5
1993,14.0,66.4,7.3,3.0,3
1993,14.0,66.4,7.3,3.0,3
1965,42.0,155.2,43.2,3.0,7
1965,42.0,143.2,42.0,1.0,6
1980,27.0,129.5,29.2,3.0,11
1980,27.0,129.5,29.2,3.0,11
1983,24.0,115.1,21.4,3.0,9
1980,28.0,143.0,39.2,3.0,2
1980,27.0,137.8,34.2,2.0,8
1980,27.0,137.8,34.2,2.0,8
1978,29.0,120.2,23.5,3.0,5
1978,29.0,120.2,23.5,3.0,5
1980,28.0,130.0,27.6,3.0,6
1980,28.0,130.0,27.6,3.0,6
1962,45.0,151.3,66.1,3.0,4
1984,23.0,125.2,23.7,3.0,12
1984,23.0,125.2,23.7,3.0,12
1958,50.0,140.7,43.9,1.0,1
1984,23.0,113.4,19.2,2.0,6
1984,23.0,113.4,19.2,2.0,6
1987,20.0,103.8,13.0,2.0,4
1987,20.0,103.8,13.0,3.0,4
1990,17.0,85.5,11.9,2.0,3
1990,17.0,85.5,11.9,2.0,3
1992,15.0,71.1,8.2,2.0,11
1992,15.0,71.1,8.2,2.0,11
1964,43.0,174.0,59.3,2.0,3
1965,42.0,154.7,53.5,2.0,10
1989,18.0,98.5,15.8,3.0,9
1989,18.0,98.5,15.8,3.0,9
1991,16.0,77.6,8.9,3.0,11
1960,48.0,138.7,40.8,3.0,1
1990,17.0,87.2,12.0,3.0,8
1990,17.0,87.2,12.0,3.0,8
1937,70.0,139.1,36.8,3.0,11
1961,47.0,153.7,60.0,1.0,6
1986,21.0,109.0,16.5,2.0,5
1986,21.0,109.0,16.5,2.0,5
1987,19.0,98.5,18.7,1.0,4
1987,19.0,98.5,18.7,2.0,4
1991,16.0,78.3,14.0,3.0,12
1991,16.0,78.3,14.0,3.0,12
1978,29.0,132.3,28.8,1.0,8
1941,68.0,144.9,37.9,3.0,4
1979,30.0,134.8,30.9,3.0,7
1981,26.0,122.2,26.1,3.0,1
1981,26.0,122.2,26.1,3.0,1
1956,51.0,148.1,47.9,1.0,7
1977,28.0,132.0,30.2,2.0,5
1977,28.0,132.0,30.2,2.0,5
1985,22.0,110.7,19.0,2.0,6
1987,20.0,105.4,17.0,2.0,11
1980,27.0,132.7,34.0,1.0,6
1985,23.0,113.5,19.5,1.0,1
1978,29.0,149.2,42.5,1.0,10
1959,47.0,143.0,39.2,1.0,10
1983,24.0,120.1,24.0,2.0,10
1983,24.0,120.1,24.0,2.0,10
1985,22.0,112.1,21.1,3.0,11
1985,22.0,112.1,21.1,3.0,11
1990,17.0,82.6,10.0,3.0,12
1990,17.0,82.6,10.0,3.0,12
1964,43.0,159.2,50.7,2.0,6
1959,48.0,152.3,52.0,1.0,11
1988,19.0,98.0,14.8,3.0,7
1991,16.0,77.2,8.8,2.0,11
1991,16.0,77.2,8.8,3.0,11
1991,16.0,87.7,14.0,1.0,7
1991,16.0,87.7,14.0,2.0,7
1936,71.0,161.9,46.1,2.0,4
1963,45.0,167.0,53.3,1.0,2
1960,45.0,144.5,45.0,1.0,9
1984,24.0,117.1,19.0,2.0,2
1986,22.0,108.2,18.3,2.0,1
1987,20.0,96.5,12.9,2.0,12
1987,20.0,96.5,12.9,2.0,12
1991,16.0,72.5,7.8,1.0,12
1991,16.0,72.5,7.8,2.0,12
1984,23.0,119.6,21.3,3.0,8
1984,23.0,119.6,21.3,3.0,8
1986,21.0,108.5,16.3,3.0,12
1988,20.0,101.5,15.7,3.0,1
1988,20.0,101.5,15.7,3.0,1
1991,16.0,76.4,9.7,3.0,11
1991,16.0,76.4,9.7,3.0,11
1974,33.0,160.9,47.9,2.0,9
